work_id,title,circle,voice_actor,price,release_date,age_rating,genre
BJ02487730,大正艶慕　～好色家の財閥令息・高遠咲久～,Queen Lily,一条ひらめ,2860,2026-04-27,全年齢,シリーズもの / バイノーラル/ダミヘ / 年上 / 着物/和服 / 恋人同士 / 純愛 / 初体験 / ラブラブ/あまあま / 歴史/時代物
BJ02487729,大正艶慕　～好色家の財閥令息・高遠咲久～【がるまに限定特典付き】,Queen Lily,一条ひらめ,3190,2026-04-27,全年齢,シリーズもの / バイノーラル/ダミヘ / 年上 / 着物/和服 / 恋人同士 / 純愛 / 初体験 / ラブラブ/あまあま / 歴史/時代物
BJ02354469,【がるまに限定特典付】惑溺のアンドロマリウス ～Codename: Eins～,ステラワース,土門熱,3190,2026-04-24,全年齢,年上 / 色仕掛け / ロマンス / クンニ / 耳舐め
BJ02396177,【特典トラック付】とにかくちゅーがしたいシュウトさん（出演：猿飛総司）,バニラレシピ,猿飛総司,3520,2026-04-15,全年齢,癒し / バイノーラル/ダミヘ / 同居 / 日常/生活 / ラブラブ/あまあま / 羞恥/恥辱 / 中出し / フェラチオ / 耳舐め / 乳首/乳輪
BJ02480179,異世界の住人が我が家に転がり込んできたのですが？ 〜騎士（自称）の場合〜【がるまに限定特典付き】,GOLD,一之瀬昴,3300,2026-04-10,全年齢,主従 / ファンタジー / ラブコメ
BJ02431591,嘘つきコインランドリー Vol.3 夜見くんは恋がヘタすぎる CV.猿飛総司,ひつじぐも,猿飛総司,2750,2026-04-10,全年齢,バイノーラル/ダミヘ / ヤクザ/裏社会 / ヤンデレ / 退廃/背徳/インモラル / 言葉責め / 執着攻め / 耳舐め
BJ02431590,嘘つきコインランドリー Vol.2 健太くんは愛に名前をつけにくい CV.彩和矢,ひつじぐも,彩和矢,2750,2026-04-03,全年齢,バイノーラル/ダミヘ / クンニ / クリ責め / 言葉責め / 執着攻め / 焦らし / 乳首責め / 耳舐め
BJ02450869,深夜残業シリーズ OMNIBUS STORY 『狐塚柊　～おはようからおやすみまで～』,Queen Lily,皇帝,2750,2026-03-30,全年齢,シリーズもの / バイノーラル/ダミヘ / 先輩/後輩 / オフィス/職場 / 恋人同士 / 同棲 / 日常/生活 / ラブラブ/あまあま
BJ02450868,深夜残業シリーズ OMNIBUS STORY 『狐塚柊　～おはようからおやすみまで～』【がるまに限定特典付き】,Queen Lily,皇帝,3080,2026-03-30,全年齢,シリーズもの / バイノーラル/ダミヘ / 先輩/後輩 / オフィス/職場 / 恋人同士 / 同棲 / 日常/生活 / ラブラブ/あまあま
BJ02468100,黒い夢 第七夜 #34 Move,Bitter Princess Labal,刺草ネトル,2970,2026-03-27,全年齢,ガテン系
BJ02433601,【禁断のセックスドラッグに溺れる】ルクスリア・ニグラ《出演：猿飛総司》,Cranberry,猿飛総司,2640,2026-03-26,全年齢,バイノーラル/ダミヘ / 連続絶頂 / 薬物 / ラブラブ/あまあま / イラマチオ / 淫乱 / オナニー / 緊縛 / くすぐり / クンニ / ささやき / 焦らし / 中出し / フェラチオ / 耳舐め / 巨根
BJ02433600,〈共通特典付き〉【禁断のセックスドラッグに溺れる】ルクスリア・ニグラ《出演：猿飛総司》,Cranberry,猿飛総司,2970,2026-03-26,全年齢,バイノーラル/ダミヘ / 連続絶頂 / 首輪/鎖/拘束具 / 薬物 / ラブラブ/あまあま / イラマチオ / 淫乱 / オナニー / 緊縛 / くすぐり / クンニ / ささやき / 焦らし / 中出し / フェラチオ / 耳舐め / 巨根
BJ02354468,【特典トラック付】とにかくちゅーがしたいヨリヒサさん（出演：佐和真中）,バニラレシピ,佐和真中,3520,2026-03-25,全年齢,癒し / バイノーラル/ダミヘ / 上司 / 年上 / 下着 / 同居 / 日常/生活 / ラブラブ/あまあま / 中出し / 耳舐め / 乳首/乳輪
